The mind is not a vessel to be filled but a fire to be kindled. | Plutarch |  | motivational
The best way out is always through. | Robert Frost |  | motivational
Every artist was first an amateur. | Ralph Waldo Emerson |  | motivational
Every day do something that will inch you closer to a better tomorrow. | Doug Firebaugh |  | motivational
Be kinder than necessary, everybody is fighting some kind of battle. | Unknown |  | kindness
Remember that unjust criticism is often a disguised compliment. | Dale Carnegie |  | relationships
To find fulfillment... don't coexist with life -- embrace it. | Jim Beggs |  | happiness
We are all faced with great opportunities brilliantly disguised as impossible situations. | Dr. Charles R. Swindoll |  | motivational
Life is what happens while you are making other plans. | John Lennon |  | 
Be who you are and say what you feel... Because those that matter... don't mind... And those that mind... don't matter. | Author Unknown |  | relationships
If I had 8 hours to chop down a tree, I'd spend 6 sharpening my ax. | Abraham Lincoln |  | work
Continuous effort - not strength or intelligence - is the key to unlocking our potential. | Sir Winston Churchill |  | motivational
Those who have knowledge don't predict. Those who predict don't have knowledge. | Lao Tzu |  | 
An expert is someone who knows some of the worst mistakes that can be made in his subject, and how to avoid them. | Werner Karl Heisenberg |  | work
In theory, there is no difference between theory and practice. In practice, however, there is. | unknown |  | 
You will find no reasonable men on the tops of great mountains. | Zen Proverb |  | motivational
Imagination is more important than knowledge. | Albert Einstein |  | motivational
Dripping water can pierce a stone. | Chinese Proverb |  | motivational
Being unwanted, unloved, uncared for, forgotten by everybody, I think that is a much greater hunger, a much greater poverty than the person who has nothing to eat. | Mother Teresa |  | kindness
Make everything as simple as possible, but not simpler. | Albert Einstein |  | 
How we live our days is how we live our lives. | Annie Dillard |  | life
Be the difference you want to see in the world. | Gandhi |  | motivational
To invent, you need a good imagination and a pile of junk. | Thomas Edison |  | funny, motivational
Try to live your life the way you wish other people would live theirs. | Raymond Burr |  | life
The best way to have a good idea is to have a lot of ideas and throw the bad ones away. | Linus Pauling |  | creativity, work
On two occasions I have been asked (by members of Parliament!), 'Pray, Mr. Babbage, if you put into the machine wrong figures, will the right answers come out?'  I am not able rightly to apprehend the kind of confusion of ideas that could provoke such a question. | Charles Babbage |  | funny, historical
lottery, n.: A tax on people who are bad at mathematics. | unknown |  | funny, math
The reluctance to put away childish things may be a requirement of genius. | Rebecca Pepper Sinkler |  | play
Do not worry; eat three square meals a day; say your prayers; be courteous to your creditors; keep your digestion good; exercise; go slow and easy. Maybe there are other things your special case requires to make you happy; but, my friend, these I reckon will give you a good life. | Abraham Lincoln |  | life
I'm a slow walker, but I never walk back. | Abraham Lincoln |  | motivational
Do not squander time, it is all that we have. | Gone with the Wind |  | life, motivational
Go confidently in the direction of your dreams!  Live the life you've imagined. | Henry David Thoreau |  | motivational
By three methods we may learn wisdom: First, by reflection, which is noblest; Second, by imitation, which is easiest; and third by experience, which is the bitterest. | Confucius |  | 
The key to golf is managing your worst shots. | Jack Nicklaus |  | 
Educating the mind without educating the heart is no education at all. | Aristotle |  | 
It's kind of fun to do the impossible. | Walt Disney |  | motivational
Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened. | Winston Churchill |  | knowledge
our worst foes are not belligerent circumstances, but wavering spirits. | Helen Keller |  | motivational
Don't wait. The time will never be just right. | Napoleon Hill |  | motivational
What, then, is the right way of living?  Life must be lived as play. | Plato |  | play
As long as I am faced in the right direction, it does not matter the size of my steps. | unknown |  | motivational
Develop a love for details.  They usually accompany success. | John Wooden |  | success, work
Give me a lever long enough and a fulcrum on which to place it, and I shall move the world. | Archimedes |  | motivational
Nothing in life is to be feared, it is only to be understood. | Marie Curie |  | courage
The future belongs to those who believe in the beauty of their dreams. | Eleanor Roosevelt |  | motivational
We cannot live only for ourselves.  A thousand fibers connect us with our fellow men, and among those fibers, as sympathetic threads, our actions run as courses, and they come back to us as affects. | Herman Melville |  | life, relationships
What you pay attention to is your reality. | Dr. Amit Sood |  | life
There is nothing so useless as doing efficiently that which should not be done at all. | Peter Drucker |  | work
Be steady and well-ordered in your life so that you may be fierce and original in your work. | Gustave Flaubert |  | creativity, work
When one begins to live by habit and quotation, one has begun to stop living. | James Baldwin |  | funny
It's never too late to be the person you might've been. | George Eliot |  | motivational
It is our choices that show what we truly are, far more than our abilities. | J.K. Rowling |  | life
I am not bound to win, but I am bound to be true. I am not bound to succeed, but I am bound to live by the light that I have. I must stand with anybody that stands right, and stand with him while he is right, and part with him when he goes wrong. | Abraham Lincoln |  | character, integrity
With people, fast is slow and slow is fast. | Stephen Covey |  | relationships, work
Studies have shown that the number-one factor in student success is parental involvement--regardless of how much those parents know about a certain subject. | unknown |  | parenting, relationships
Receive with simplicity everything that happens to you. | Rashi |  | life
Every day choose life instead of bitterness, resentment, and anger, for those are the real killers of life. | Fr. Paul Nelson |  | life, positivity
There is a place inside of all of us where we are at peace and we have no enemies. | Dr. Frederic Luskin |  | life, peace
Judge your success by the degree that you're enjoying peace, health, and love. | H. Jackson Brown Jr. |  | health, love, peace
Busyness is the enemy of relationships. | Rick Warren |  | relationships, work
One of the penalties for refusing to participate in politics is that you end up being governed by your inferiors. | Plato |  | government
Crap multiplies by itself, but it doesn't self-destruct. | David Allen |  | work
We gain strength, and courage, and confidence by each experience in which we really stop to look fear in the face... we must do that which we think we cannot. | Eleanor Roosevelt |  | courage
Learn from the mistakes of others. You'll never live long enough to make them all yourself. | Ralph Waldo Emerson |  | learning
It takes a great deal of bravery to stand up to our enemies, just as much to stand up to our friends. | Prof. Albus Dumbledore |  | relationships
Nothing can be more useful to a man than the determination not to be hurried. | Henry David Thoreau |  | life, peace
Have a reputation for being gracious. | Baltasar Gracian, The Art of Worldly Wisdom. |  | grace, relationships
A sense of humor is part of the art of leadership, of getting along with people, of getting things done. | Dwight Eisenhower |  | relationships, work
Happiness is not something that you postpone for the future; it is something that you design for the present. | Jim Rohn |  | happiness
A hero is an ordinary individual who finds the strength to persevere in spite of overwhelming obstacles. | unknown |  | motivational
It is amazing what you can accomplish if you do not care who gets the credit. | Harry Truman |  | relationships, work
